,時間,本文
48,2022-12-02 23:50:58+09:00,"RT @livedoornews: 【続投】「天使にラブ・ソングを…」第3作の脚本が完成間近
https://t.co/pGsDXJcPYs

1992年の第1作で、シスター・クラレンスことデロリス役を演じたウーピー・ゴールドバーグが明かした。それ以上の詳細は明かさなかったもの…"
49,2022-12-02 23:50:47+09:00,"RT @eigacom: 映画「天使にラブ・ソングを…」で流れる歌＆曲を知ってる？　劇中楽曲リスト【金曜ロードショーで本日放送】

▼記事詳細はこちら
https://t.co/UdxxG963LK

#天使にラブソングを #金曜ロードショー #金ロー @kinro_ntv"
50,2022-12-02 23:50:44+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
51,2022-12-02 23:50:32+09:00,"RT @miura3__: どういう人生を歩んできたら
原題: 「Sister Act」を
「天使にラブ・ソングを」
に日本語訳出来る教養が身に付くのかと毎回思う…

#金曜ロードショー
#天使にラブ・ソングを"
52,2022-12-02 23:50:30+09:00,"RT @fbsjinsil: 2022/12/02(Fri)🐾❄️
いつも❤️RTありがとうございます😊
急に寒くなったので風邪をひいて
しまいました🤧
今、TVで「天使にラブ・ソングを」を
観ています😄
やはり音楽や歌はいいですね🥰
#Yoshiki #TeamYoshiki…"
53,2022-12-02 23:50:14+09:00,"RT @bootdale: 「天使にラブ・ソングを…」の原題の""Sister Act""がどんな複雑なダジャレなのかを説明するブログです。
https://t.co/Ewa4RnQktm"
54,2022-12-02 23:50:14+09:00,@tmoVHinR ハリポタのマクゴナガル先生が有名ですが、個人的には『天使にラブ・ソングを…』の修道院長先生が美しくイチオシなんです！！
55,2022-12-02 23:50:02+09:00,"RT @livedoornews: 【続投】「天使にラブ・ソングを…」第3作の脚本が完成間近
https://t.co/pGsDXJcPYs

1992年の第1作で、シスター・クラレンスことデロリス役を演じたウーピー・ゴールドバーグが明かした。それ以上の詳細は明かさなかったもの…"
56,2022-12-02 23:49:55+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
57,2022-12-02 23:49:50+09:00,"今日の金曜ロードショーは
天使にラブ・ソングを・・・ 
でした。

#金ロー
#天使にラブ・ソングを

https://t.co/YygMg1PX7t"
