,時間,本文
39,2023-02-03 23:58:29+09:00,"【超脱力】
いや、アカウント凍結と復活で泣いてるバカだと笑って下さい。
声を取られたみたいで凄くつらかった。

夜中のただいま。
Twitterの中の人、パイレーツオブカリビアンでも見ていたのかなあ？"
40,2023-02-03 23:58:28+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
41,2023-02-03 23:58:28+09:00,"おとうさんのハートをばぁーん♡
「言ってないです。（冷）」

明日も刑務なので、ってパイカビ（パイレーツオブカリビアンの略）見てたらもうこんな時間！寝なくちゃ！！

今週結構頑張ったので明日は要らない書類ひたすらシュレッダーにかける人になりたいです。＼ｻﾜｷﾁｬﾝ!!／

おやすもがみ🌙 https://t.co/aO5MmUiPkC"
42,2023-02-03 23:58:25+09:00,"RT @mhhodmZS8x2pw7p: #金曜ロードショー 
#パイレーツオブカリビアン 
#シーンカット
かなりカットされたな。
しゃーないと言えばしゃーないか。
日曜洋画劇場でやった時は2週連続で放送する程、この映画は長いのよ。
一夜でやるには https://t.co/…"
43,2023-02-03 23:58:25+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
44,2023-02-03 23:58:24+09:00,"RT @hiratapro: ★負けずに収録裏話。
この台本を受け取ったのは、旅公演の真っ最中。
窓から五稜郭の見える素敵なホテルでした。

#金曜ロードショー　
#パイレーツオブカリビアン"
45,2023-02-03 23:58:22+09:00,ちなみに全作ディスクとワールドエンドはコレクターズエディション持ってるくらい好きだった。#パイレーツオブカリビアン https://t.co/Nn3ygiTcwd
46,2023-02-03 23:58:17+09:00,"切ないんすよ。裏切られても最期まで想ってるんすよ。泣けるんすよ。
#金曜ロードショー #パイレーツオブカリビアン #デイヴィジョーンズ https://t.co/7rKXX7Nvg8"
47,2023-02-03 23:58:15+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
48,2023-02-03 23:58:14+09:00,"RT @HitUltra: 拿捕状で従えた海賊に裏切られるのは皮肉だな。
まあ、ベケット目線でもこんな状況で集中砲火されたら、当然思考停止しますわ。
#パイレーツオブカリビアン #パイレーツ・オブ・カリビアン #ワールドエンド #金曜ロードショー https://t.co/VH…"
