,時間,本文
34,2023-01-27 23:58:08+09:00,"パイレーツ・オブ・カリビアン／デッドマンズ・チェスト 4K UHD [4K ULTRA HD+ブルーレイ] [Blu-ray]

🔽🔽
https://t.co/tsqKOlBkHR

＃パイレーツオブカリビアン
＃金曜ロードショー"
35,2023-01-27 23:58:08+09:00,"RT @kinro_ntv: キーラ・ナイトレイさんにとって、ジョニー・デップさんとの共演は「演技の上級クラスの授業を受けているようなもの」
オーランド・ブルームさんとは長い知り合いで、「昔、ロンドンで何かあると一緒に行った」仲だったので、撮影で一緒に過ごす時間を楽しんだそうで…"
36,2023-01-27 23:57:59+09:00,RT @kinro_ntv: ブラック・パール号🚢がクラーケン🐙に襲われるシーンは、グランドバハマ島で撮影🎥。オーランド・ブルームさん👤は、真っ白な砂と青い海のある贅沢な場所🏝で撮影できたことについて、「スクリーンに豊かな色感をもたらしてくれるだろう」とその効果を語っています😄…
37,2023-01-27 23:57:58+09:00,"RT @sayjoy_enjoy: 最後にバルボッサが登場するシーンは出演者も知らなかったサプライズだから驚いた顔は素の表情らしい

＃パイレーツオブカリビアン
＃金曜ロードショー https://t.co/9zr7TwHI13"
38,2023-01-27 23:57:54+09:00,"RT @yukitadie56: #パイレーツオブカリビアン
北欧神話でも有名な化け物、クラーケン。デイヴィ・ジョーンズも使っていた怖いこの伝説の化け物の正体、近年の研究ではダイオウイカで説明がつくそうです。 https://t.co/i8npessnRj"
39,2023-01-27 23:57:51+09:00,"RT @sayjoy_enjoy: 最後にバルボッサが登場するシーンは出演者も知らなかったサプライズだから驚いた顔は素の表情らしい

＃パイレーツオブカリビアン
＃金曜ロードショー https://t.co/9zr7TwHI13"
40,2023-01-27 23:57:49+09:00,いまじゃ本当に考えられないけど、パイレーツオブカリビアン公開当時は同人誌出したくても印刷所に断られちゃうし、二次創作は絶対表に出しちゃ駄目で個人サイトもルール凄くて、サイト見たら絶対にウィンドウを閉じるかYahoo！Googleに飛んでから他のページに行くって決まりあったの。
41,2023-01-27 23:57:42+09:00,"シリーズの中で1番好きな作品
 #デッドマンズチェスト 🏴‍☠️☠⚔
面白いシーンがたくさんあるから何度観ても最高だね👍👍
 #金曜ロードショー 
 #パイレーツオブカリビアン"
42,2023-01-27 23:57:42+09:00,おみやを買って、パイレーツオブカリビアンで夜更かしをしてる娘に小言を言われて、寝ます😑
43,2023-01-27 23:57:33+09:00,"RT @kinro_ntv: １作目で「自分の演じるキャラクターに何を求めるか？」と質問されるたびに「剣が欲しい🗡」と答え続けたキーラ・ナイトレイさん👤
今回は剣を２本使ったアクション⚔️が考案され「たくさんトレーニングをさせられたけれど、それは楽しい経験だったわ」と喜んでいま…"
