,時間,本文
44,2022-11-18 23:58:10+09:00,"金曜ロードショー

ドラマとは別世界の新オリジナルストーリー

「あなたの番です」

秋の夜長は、ミステリー作品が似合うよね

次週は、

「ヴァイオレット・エヴァーガーデン   完結編」

φ(ﾟДﾟ )ﾌﾑﾌﾑ…"
45,2022-11-18 23:58:05+09:00,"あなたの番です劇場版観終わった
やっぱりこういうの好きだな"
46,2022-11-18 23:58:05+09:00,"RT @eiga_pia: 【インタビュー / ネタバレあり！】『あなたの番です 劇場版』、西野七瀬が黒島ちゃんの“あのシーン”について語る！
https://t.co/SmQBHQWJ44

@kinro_ntv @anaban_ntv #西野七瀬 #黒島ちゃん #あなたの番…"
47,2022-11-18 23:57:56+09:00,あなたの番です面白かった〜👌🏻 ̖́-
48,2022-11-18 23:57:53+09:00,怖かったぁ、あなたの番です📺😭
49,2022-11-18 23:57:52+09:00,"今、劇場版「あなたの番です」を見たんだけど、結局最初にやられた管理人さんは、だれにやられたの❓
黒島ちゃんと予想してみたんだけど、どうなん¿( ˙꒳​˙  )?"
50,2022-11-18 23:57:50+09:00,"RT @cinematoday: 【金曜ロードショー】 『あなたの番です 劇場版』神谷刑事役 #浅香航大 の公開当時のインタビューはこちら☞
#あなたの番です劇場版  #あなたの番です 
https://t.co/2SFtg99XsR"
51,2022-11-18 23:57:49+09:00,あなたの番ですってテレビ欄で俳優陣が魅力的だったから楽しみにしてたけど、一切面白も切なさとかそうゆう感情が揺れるとこ一切無かった。ただひとつ称賛するところは横山流星がかっこよかった。
52,2022-11-18 23:57:49+09:00,"RT @GQJAPAN: 横浜流星が中学生のときに極真空手の世界大会で優勝したことは、『あなたの番です』の格闘場面でのあの驚くべき身体動作からいまや周知の事実かもしれない。

▼横浜流星のインタビューをプレイバック
https://t.co/J1eVeAFl6J

#横浜流星…"
53,2022-11-18 23:57:47+09:00,"あなたの番です最後までドキドキした～💦
菜奈ちゃん生きてて良かった！"
54,2022-11-18 23:57:45+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
55,2022-11-18 23:57:43+09:00,"あれ？また竹中さんは事故死だったっけ？事件？儂が忘れてるだけ？

あなたの番です"
56,2022-11-18 23:57:41+09:00,TVで｢あなたの番です劇場版｣やってたから観たけどイマイチやったなぁ🤔
57,2022-11-18 23:57:41+09:00,"RT @cinematoday: 【金曜ロードショー】 『あなたの番です 劇場版』神谷刑事役 #浅香航大 の公開当時のインタビューはこちら☞
#あなたの番です劇場版  #あなたの番です 
https://t.co/2SFtg99XsR"
58,2022-11-18 23:57:41+09:00,"高評価！『あなたの番です』
https://t.co/D2WC29vSIP"
59,2022-11-18 23:57:40+09:00,"あなたの番ですドラマはハマって見てたけど劇場版初めて観て良かった！けど管理人誰が殺したか描写ないよね？
黒島ちゃんの飼い犬？"
60,2022-11-18 23:57:37+09:00,"あなたの番です
観ながら
TAKUYA∞の突然のインスタライブ
観ながら
ルンちゃま撫でながら
旦那さんと話しながら
DM返しながら

な21時〜23時50分だったwww"
61,2022-11-18 23:57:33+09:00,あなたの番です劇場版最後まで観たけど、管理人さんが誰になぜ殺されたのかわからなかった…モヤリ
62,2022-11-18 23:57:33+09:00,"『あなたの番です 劇場版』

[声の出演] https://t.co/cJnBOFoHnJ"
63,2022-11-18 23:57:32+09:00,え、あなたの番ですこれで終わり？
64,2022-11-18 23:57:31+09:00,"あなたの番ですめっちゃ良かった！
来週のヴァイオレット・エヴァーガーデン…は見たことないけど楽しみです！"
65,2022-11-18 23:57:30+09:00,あなたの番ですおもろすぎないか
66,2022-11-18 23:57:28+09:00,"RT @cinematoday: 【金曜ロードショー】 『あなたの番です 劇場版』神谷刑事役 #浅香航大 の公開当時のインタビューはこちら☞
#あなたの番です劇場版  #あなたの番です 
https://t.co/2SFtg99XsR"
67,2022-11-18 23:57:26+09:00,「あなたの番です」ってフレーズ出てこないのに劇場版も同じ題名にしたのちょっとおもろい
68,2022-11-18 23:57:25+09:00,"ドラマのあなたの番ですとか天気の子ってもう3年前にもなるのかぁ
ついこの前の夏だと思ってたよ…時の流れが早い"
69,2022-11-18 23:57:23+09:00,"金曜ロードショーのあなたの番ですめっちゃ面白かった！ドラマの感じも残ってたし楽しめた！
最後はめっちゃ怖かったけど((( ；ﾟДﾟ)))"
70,2022-11-18 23:57:19+09:00,"「あなたの番です　劇場版」金ローで観終わった。ま、映画館でも観たんだけどね。内容はあえて言うまい😙。とにかく原田知世様とAimer様の唄を愛でるものだと思うとります。自分的にはMVP
は皆川猿時さん。いい味出してる役者さんだと思う。　#あなたの番です"
71,2022-11-18 23:57:17+09:00,ラストシーン、連ドラのあのシーンを思い出してドキドキしちゃったじゃん……(あなたの番です劇場版リアタイしてた)
72,2022-11-18 23:57:11+09:00,"@Aimer_and_staff ドラマも劇場版もずっとドキドキで目が離せませんでしたね
STAND-ALONEもONE AND LASTもあなたの番ですの魅力を高めてくれたと思います"
73,2022-11-18 23:57:11+09:00,"あなたの番です劇場版面白かった〜見たかった組み合わせとか、死んでほしくなかった人のコメディとか見れてよかった。
いくみんはどうやってもあのエンドなのか…"
74,2022-11-18 23:57:10+09:00,"RT @piepiepin: 「事件があっても
二の腕出して歩いてる女はマトモじゃない
長年おんなをやってるとわかる

BCG跡がある世代なめるな」

「おちつけ、お前も二の腕だしてるだろ」

あなたの番です史上一番の名言
 #あなたの番です劇場版　#あなたの番です　#金曜ロー…"
75,2022-11-18 23:57:09+09:00,あなたの番です普通におもれかったな
76,2022-11-18 23:57:03+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
77,2022-11-18 23:57:02+09:00,劇場版あなたの番ですがテレビのより面白くなかった。テレビで見てたときの熱量で観れない。なんか映画向きじゃないような感じ。逆にいうとテレビの面白さって、やっぱりあるのかも。
78,2022-11-18 23:56:53+09:00,あなたの番です劇場版 思ってたより人死ななかったね 一番良かったのは最後の方で兄貴が尾野さんと結婚してたこと「キスはチャクラにしてって言ったでしょ❤️」が良すぎる
79,2022-11-18 23:56:47+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
80,2022-11-18 23:56:47+09:00,"・映画 あなたの番です　劇場版
  のダビング可能です！

⭐️CMカット済み

フリマアプリでのお取引です

#あなたの番です劇場版 
#あなたの番です 
#金曜ロードショー"
81,2022-11-18 23:56:43+09:00,"『あなたの番です 劇場版』、ラストシーンがTVシリーズのあのシーンの逆バージョンだったから、てっきり、どーやんが殺したんかと邪推してたら、菜奈ちゃんが生きててホッとしましたよ。
#あなたの番です 
#あなたの番です劇場版"
82,2022-11-18 23:56:42+09:00,あなたの番です劇場版…突然純愛ぶっ込むのやめてもろて…(号泣)
83,2022-11-18 23:56:42+09:00,"あなたの番ですのラストを見て思った事…
人の気持ちをよーく理解できる人間になろう……
菜奈ちゃんが黒島ちゃんどーやんとなら生まれ変われそうだと伝えた後のどーやんの気持ちを考えたら泣いた……"
84,2022-11-18 23:56:41+09:00,"あなたの番です見てたらこの時間😇
明日も仕事なんだけど😂"
85,2022-11-18 23:56:36+09:00,"来週は劇場版ヴァイオレットエバーガーデンだ(⁠◕⁠ᴗ⁠◕⁠✿⁠)楽しみだね
皆さんこんばんわ
あなたの番です見てたらもうすぐ0時だね早いものです
こんな時間だから皆寝てるかなあ〜
良い夢を見てくださいね(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)"
86,2022-11-18 23:56:34+09:00,"あなたの番ですは
色々あるけどこっちの世界線で
あって欲しいよね。
(南さん可哀想過ぎるけど…ｺﾞﾒﾝ…)
翔太くん良かったねぇ…🥹 https://t.co/aNU9DQNLI5"
87,2022-11-18 23:56:28+09:00,"RT @GQJAPAN: 横浜流星が中学生のときに極真空手の世界大会で優勝したことは、『あなたの番です』の格闘場面でのあの驚くべき身体動作からいまや周知の事実かもしれない。

▼横浜流星のインタビューをプレイバック
https://t.co/J1eVeAFl6J

#横浜流星…"
88,2022-11-18 23:56:27+09:00,"あなたの番ですほんま疲れるわ
ななちゃんと翔太さんだけは死んで欲しくなくてずっとドキドキして息止めて見てたからばりしんどい"
89,2022-11-18 23:56:22+09:00,"あなたの番です見てたらこんな時間😩
明日仕事なのに〜💦

七瀬の演技好きやぁ☺️

#あなたの番です劇場版 
#西野七瀬"
90,2022-11-18 23:56:22+09:00,"21時から今まであなたの番です映画版見てたわ
明日休日出勤なのに🙃"
91,2022-11-18 23:56:21+09:00,"あなたの番です劇場版見た。
思ってたのと違った。
奇人変人の誰が殺されるかを見るだけのドラマだった……😿
最初のじゃんけんで世界線が変わって殺人事件が起きるだけのコメディ"
92,2022-11-18 23:56:19+09:00,あなたの番です終わったぁー
93,2022-11-18 23:56:19+09:00,"あなたの番です。劇場版面白かったー！！！
ねるー！！！"
94,2022-11-18 23:56:19+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
95,2022-11-18 23:56:15+09:00,"RT @SodaSky_V: ポケモン買ってたとしても、あなたの番です終わってこの時間からは無理だろ明日は午前に起きれたら戸締まり見に行って昼過ぎからマリオカートの地獄耐久なんだよ！！！ってなってる
これを酸っぱい葡萄と言います"
96,2022-11-18 23:56:14+09:00,@Anijya_san あなたの番ですも面白いので是非‥
97,2022-11-18 23:56:12+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
98,2022-11-18 23:56:10+09:00,ネタバレ検索したらやっぱり誰が殺したのかわかってなかった。すげー。めちゃめちゃ面白い映画でした。「あなたの番です」めっちゃ面白かった。
