,時間,本文
95,2022-11-11 14:54:35+00:00,"先週は圭くんの舞台を観劇することができた😇

今日はそしてバトンは渡されたの森宮さん🥳

来週は翔太くん🥰

圭くんを見ていろいろ頑張れることができてます。
ありがとう😊

 #十一月十一日は田中圭の日
#十一月十一日は圭の日 
#田中圭"
96,2022-11-11 14:54:35+00:00,"そして、バトンは渡された観て号泣
こうなるのは分かってたけども！！後半から鼻づまりで息苦しいのなんのって💦
明日、目腫れてるだろうな。。。
最近涙活しまくりやん🙄"
97,2022-11-11 14:54:35+00:00,最近めっきり地上波で映画見てないんですが、つけたらたまたま始まった『そして、バトンは渡された』、しっかり観てしまいました。見事にだまされました。キャラの立て方、ピアノとの出会い、家族をめぐる問題。ほんとうにストーリーが秀逸でした。
98,2022-11-11 14:54:29+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
99,2022-11-11 14:54:28+00:00,『そして、バトンは渡された』小説やっと読み終えて、今日はリアタイ楽しみにしてたのに…テレビ占領されてまだ観れてない😭
100,2022-11-11 14:54:25+00:00,映画『そして、バトンは渡された』★★★★4.1点。 このレビューはネタバレを含みます https://t.co/4I0pcOwIh0 #Filmarks #映画 #そしてバトンは渡された
101,2022-11-11 14:54:23+00:00,"そしてバトンは渡された
やっぱりいい伏線回収のお話しでしたねー
森宮さんのあの感じが好き（色眼鏡）

そして来週はあなたの番です劇場版
こちらも既に一度見てるけど来週もみるよー！

2週渡って圭くんまつり💕
11/11てけーくんの日だしね"
102,2022-11-11 14:54:23+00:00,「そしてバトンは渡された」見てでボロ泣きしててウンビンちゃんが歌ってるIF I聞いて追加で涙出てきてボロボロ😭
103,2022-11-11 14:54:18+00:00,"RT @cinema_cafe: 『#そして、バトンは渡された』絶妙な距離感から生まれた“親子”の信頼関係

永野芽郁さん＆田中圭さんのインタビューはこちらから✍️
https://t.co/4iMGCNbnoO

#永野芽郁 #田中圭 #金曜ロードショー #金ロー https…"
104,2022-11-11 14:54:17+00:00,そしてバトンは渡された録れてなかった
105,2022-11-11 14:54:13+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
106,2022-11-11 14:54:09+00:00,RT @sascha348: 11月11日金曜ロードショー「そして、バトンは渡された」よる9時放送！ https://t.co/aUXqrVtOaJ #金曜ロード
107,2022-11-11 14:54:04+00:00,"「そして、バトンは渡された」号泣…。瀬尾まいこは卵の緒から大好きだけど、やっぱり家族の描き方が好きだなぁ。
そして来週はどーやーん！💜😇
森宮さんがー！😂😂😂w
流星くん、初✨金ロー??😭✨
#横浜流星 https://t.co/IJsdq0pmuY https://t.co/D9xSlGP2Ao"
108,2022-11-11 14:54:02+00:00,"そしてバトンは渡された　観てた。

この子の素直な感じが、誰もが大事にしたくなっちゃう気がわかるよね。
まぁ、やっぱり、
特別な気持ちで観てしまうけどね。

あなたが待受にしてしまう程大好きな娘ちゃんは作品を支え自然な演技が出来る小さな女優さんになってました。 https://t.co/Hs33WYWfhp"
109,2022-11-11 14:54:01+00:00,"そしてバトンは渡された、愛して愛して愛した娘の結婚式目前で命尽き果ててしまう母親と、ママに会いたかったのセリフで悲しくて泣けた
永野芽郁ちゃんが透明すぎて心洗われる〜"
110,2022-11-11 14:53:58+00:00,そしてバトンは渡された見てめっちゃ泣いた
111,2022-11-11 14:53:56+00:00,永野芽郁＆田中圭＆石原さとみ共演『そして、バトンは渡された』キャスト・あらすじをおさらい | https://t.co/JFSKLutjyC - シネマカフェ
