,時間,本文
43,2023-01-13 23:58:00+09:00,"ところで今日、金ローでマーニーやってたの？
ジョーン・ロビンソン『思い出のマーニー』(岩波少年文庫)は松野正子先生が訳されてますが、同じく岩波少年文庫から松野先生訳で刊行されているアリソン・アトリー『時の旅人』もめちゃんこオススメです。

時の旅人 - 岩波書店 https://t.co/zcwAPojRpl"
44,2023-01-13 23:57:59+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
45,2023-01-13 23:57:59+09:00,思い出のマーニー感動した
46,2023-01-13 23:57:55+09:00,"初めて思い出のマーニーを観て、じんわり温かい感動に包まれております。

そしてピンクドレスのマーニー、なんか既視感あるなと思ったら…ナージャだ！
#思い出のマーニー https://t.co/c1MaQ4G8Wl"
47,2023-01-13 23:57:51+09:00,"RT @kinro_ntv: 宮﨑駿監督は、映画を最後まで観ないで10分ぐらいで出て行ってしまうことが多いそうなのですが、西村義明プロデューサーによると『思い出のマーニー』は最後まで観て「麻呂（米林監督）はよく頑張った」と褒めていたそうです😊。👉続く
#金曜ロードショー #思い…"
48,2023-01-13 23:57:44+09:00,"RT @c5l5rf3l: 2014.8.5.KちゃんNEWS
映画館でマナー悪い人への不満 byシゲ

※シゲが、一人で「思い出のマーニー」を観に行ったときのエピソードです。

#KちゃんNEWS
#NEWSで文字起こし
#からふる動画 https://t.co/Eiafgn…"
49,2023-01-13 23:57:44+09:00,"RT @PocoCrescita: 『思い出のマーニー』のおすすめポイント

・主人公の杏奈とマーニーが可愛い
・試される大地の描写が綺麗
・少しずつ謎が解けていく
・二週目以降絶対泣く
・思春期の繊細な心の機微
・杏奈ちゃんがめっちゃ思春期
・マーニーは世界名作劇場的な思春期…"
50,2023-01-13 23:57:39+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
51,2023-01-13 23:57:37+09:00,"思い出のマーニー💛
良かった。
天真爛漫や元気いっぱいでないヒロインの杏奈が良かった。
見始めた時に杏奈の瞳、ブルーなんだ？
それが意味するところが最後の最後にわかるのね💙
#思い出のマーニー"
52,2023-01-13 23:57:36+09:00,思い出のマーニー見てましたが感動ものなのかホラーなのかよくわからないまま見てました
53,2023-01-13 23:57:36+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
